,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
0,-151230.1241009838,-1.0,5,random,10000,2
1,-509071.4733971292,-1.0,10,random,10000,2
2,-18944091.918992803,-1.0,50,random,10000,2
3,-61696.6773811405,-1.0,5,latin_cube_u,10000,2
4,-413352.98192422854,-1.0,10,latin_cube_u,10000,2
5,-23259701.88475469,-1.0,50,latin_cube_u,10000,2
6,-110696.82358502176,-1.0,5,latin_cube_q,10000,2
7,-669411.8164740978,-1.0,10,latin_cube_q,10000,2
8,-18577766.73604144,-1.0,50,latin_cube_q,10000,2
9,-66966.09979730583,-1.0,5,uniform,10000,2
10,-647582.8469814422,-1.0,10,uniform,10000,2
11,-17095575.829443563,-1.0,50,uniform,10000,2
12,-31312.348369428426,0.9795,5,,10000,2
13,-31312.348563827905,0.9796,10,,10000,2
14,-31312.34838669321,0.9795,50,,10000,2
15,-179664.4217834074,-1.0,5,random,10000,2
16,-718863.441785206,-1.0,10,random,10000,2
17,-18325440.267155126,-1.0,50,random,10000,2
18,-57550.590690335855,-1.0,5,latin_cube_u,10000,2
19,-486775.17889631446,-1.0,10,latin_cube_u,10000,2
20,-15739428.765126595,-1.0,50,latin_cube_u,10000,2
21,-455186.09198094887,-1.0,5,latin_cube_q,10000,2
22,-611020.9297039576,-1.0,10,latin_cube_q,10000,2
23,-19967745.82400761,-1.0,50,latin_cube_q,10000,2
24,-117241.62363817012,-1.0,5,uniform,10000,2
25,-1058322.8930191125,-1.0,10,uniform,10000,2
26,-23404446.594571207,-1.0,50,uniform,10000,2
27,-31166.65110308829,0.9822,5,,10000,2
28,-31166.65097495011,0.9822,10,,10000,2
29,-31166.650878609566,0.9821,50,,10000,2
30,-152483.85856896843,-1.0,5,random,10000,2
31,-636116.7891703856,-1.0,10,random,10000,2
32,-19852336.856486786,-1.0,50,random,10000,2
33,-172330.18027364783,-1.0,5,latin_cube_u,10000,2
34,-586849.7244831006,-1.0,10,latin_cube_u,10000,2
35,-35895734.35365538,-1.0,50,latin_cube_u,10000,2
36,-194569.93681053285,-1.0,5,latin_cube_q,10000,2
37,-578265.9657322314,-1.0,10,latin_cube_q,10000,2
38,-16738446.243562972,-1.0,50,latin_cube_q,10000,2
39,-132949.0523606113,-1.0,5,uniform,10000,2
40,-852079.0309198401,-1.0,10,uniform,10000,2
41,-13627288.249345103,-1.0,50,uniform,10000,2
42,-31437.488450097597,0.9781,5,,10000,2
43,-31437.48850625044,0.9779,10,,10000,2
44,-31437.488765339906,0.9781,50,,10000,2
45,-124515.5862535366,-1.0,5,random,10000,2
46,-530888.3993678995,-1.0,10,random,10000,2
47,-18001423.28034425,-1.0,50,random,10000,2
48,-247395.5136458127,-1.0,5,latin_cube_u,10000,2
49,-663637.836739414,-1.0,10,latin_cube_u,10000,2
50,-16416889.949433818,-1.0,50,latin_cube_u,10000,2
51,-87644.91667501193,-1.0,5,latin_cube_q,10000,2
52,-631532.5047570097,-1.0,10,latin_cube_q,10000,2
53,-19075621.36000379,-1.0,50,latin_cube_q,10000,2
54,-102530.00290401746,-1.0,5,uniform,10000,2
55,-384410.14332513826,-1.0,10,uniform,10000,2
56,-17590416.03478412,-1.0,50,uniform,10000,2
57,-31390.44444759289,0.979,5,,10000,2
58,-31390.44443188755,0.979,10,,10000,2
59,-31390.444335639677,0.979,50,,10000,2
60,-118479.8879676883,-1.0,5,random,10000,2
61,-557931.728423779,-1.0,10,random,10000,2
62,-18267100.208505794,-1.0,50,random,10000,2
63,-135440.14312568185,-1.0,5,latin_cube_u,10000,2
64,-597628.6132490801,-1.0,10,latin_cube_u,10000,2
65,-20797126.7405553,-1.0,50,latin_cube_u,10000,2
66,-103104.43117031154,-1.0,5,latin_cube_q,10000,2
67,-939159.8619694655,-1.0,10,latin_cube_q,10000,2
68,-18385055.994004603,-1.0,50,latin_cube_q,10000,2
69,-75454.37668333843,-1.0,5,uniform,10000,2
70,-729175.3567259812,-1.0,10,uniform,10000,2
71,-20139814.68936607,-1.0,50,uniform,10000,2
72,-31207.202165023296,0.9793,5,,10000,2
73,-31207.202362125445,0.9793,10,,10000,2
74,-31207.202238857277,0.9793,50,,10000,2
75,-210320.47722214455,-1.0,5,random,10000,2
76,-454150.6824337087,-1.0,10,random,10000,2
77,-20576332.147474263,-1.0,50,random,10000,2
78,-148520.88400831335,-1.0,5,latin_cube_u,10000,2
79,-930860.7995771278,-1.0,10,latin_cube_u,10000,2
80,-23598327.15994664,-1.0,50,latin_cube_u,10000,2
81,-129852.4273228201,-1.0,5,latin_cube_q,10000,2
82,-983084.245748486,-1.0,10,latin_cube_q,10000,2
83,-20979348.990198333,-1.0,50,latin_cube_q,10000,2
84,-210261.53771634944,-1.0,5,uniform,10000,2
85,-485821.15694503713,-1.0,10,uniform,10000,2
86,-21597101.571414936,-1.0,50,uniform,10000,2
87,-31403.678777918907,0.9814,5,,10000,2
88,-31403.67876670647,0.9814,10,,10000,2
89,-31403.678840008975,0.9814,50,,10000,2
90,-238972.2433515396,-1.0,5,random,10000,2
91,-541116.6063563903,-1.0,10,random,10000,2
92,-18008815.92094176,-1.0,50,random,10000,2
93,-73202.9120126698,-1.0,5,latin_cube_u,10000,2
94,-379445.89558332565,-1.0,10,latin_cube_u,10000,2
95,-12856413.478490062,-1.0,50,latin_cube_u,10000,2
96,-71041.94878915758,-1.0,5,latin_cube_q,10000,2
97,-695560.2866898867,-1.0,10,latin_cube_q,10000,2
98,-21711265.959764246,-1.0,50,latin_cube_q,10000,2
99,-192672.81958166184,-1.0,5,uniform,10000,2
100,-480364.0948560923,-1.0,10,uniform,10000,2
101,-12602631.792351738,-1.0,50,uniform,10000,2
102,-31379.38489958305,0.98,5,,10000,2
103,-31379.38462677398,0.98,10,,10000,2
104,-31379.384602481914,0.9802,50,,10000,2
105,-138791.57993913724,-1.0,5,random,10000,2
106,-593056.1030766685,-1.0,10,random,10000,2
107,-17581967.710785802,-1.0,50,random,10000,2
108,-253467.7781844504,-1.0,5,latin_cube_u,10000,2
109,-611091.0997181361,-1.0,10,latin_cube_u,10000,2
110,-18884677.256990552,-1.0,50,latin_cube_u,10000,2
111,-196136.73610668044,-1.0,5,latin_cube_q,10000,2
112,-430766.1901204167,-1.0,10,latin_cube_q,10000,2
113,-18464601.186504234,-1.0,50,latin_cube_q,10000,2
114,-277596.7818686302,-1.0,5,uniform,10000,2
115,-429040.6612633962,-1.0,10,uniform,10000,2
116,-31251956.31740223,-1.0,50,uniform,10000,2
117,-31311.58477198747,0.9806,5,,10000,2
118,-31311.584617750388,0.9806,10,,10000,2
119,-31311.584837468406,0.9806,50,,10000,2
120,-180683.9701781836,-1.0,5,random,10000,2
121,-428157.91280542384,-1.0,10,random,10000,2
122,-20894000.51197708,-1.0,50,random,10000,2
123,-147973.44942909825,-1.0,5,latin_cube_u,10000,2
124,-544632.1040801372,-1.0,10,latin_cube_u,10000,2
125,-17594098.871524397,-1.0,50,latin_cube_u,10000,2
126,-142030.1321419652,-1.0,5,latin_cube_q,10000,2
127,-702428.6076989239,-1.0,10,latin_cube_q,10000,2
128,-19751050.518256705,-1.0,50,latin_cube_q,10000,2
129,-155203.61758394176,-1.0,5,uniform,10000,2
130,-951893.7295434659,-1.0,10,uniform,10000,2
131,-14325668.844886832,-1.0,50,uniform,10000,2
132,-31270.693601193114,0.9829,5,,10000,2
133,-31270.69391331258,0.9829,10,,10000,2
134,-31270.693559817588,0.9829,50,,10000,2
135,-162550.7062798017,-1.0,5,random,10000,2
136,-594585.2532542202,-1.0,10,random,10000,2
137,-18538726.153738767,-1.0,50,random,10000,2
138,-132297.42293304077,-1.0,5,latin_cube_u,10000,2
139,-366966.0602742868,-1.0,10,latin_cube_u,10000,2
140,-22166844.797836613,-1.0,50,latin_cube_u,10000,2
141,-156003.1755483743,-1.0,5,latin_cube_q,10000,2
142,-387022.4279063258,-1.0,10,latin_cube_q,10000,2
143,-19094130.70778426,-1.0,50,latin_cube_q,10000,2
144,-239747.36399672372,-1.0,5,uniform,10000,2
145,-499754.89486496715,-1.0,10,uniform,10000,2
146,-23796223.734832183,-1.0,50,uniform,10000,2
147,-31183.323446612747,0.9807,5,,10000,2
148,-31183.323739116993,0.9807,10,,10000,2
149,-31183.32386165678,0.9807,50,,10000,2
150,-103692.80844142502,-1.0,5,random,10000,2
151,-751455.6493886894,-1.0,10,random,10000,2
152,-19293960.37470908,-1.0,50,random,10000,2
153,-133289.34786923646,-1.0,5,latin_cube_u,10000,2
154,-125353.64284816786,-1.0,10,latin_cube_u,10000,2
155,-17874326.47576669,-1.0,50,latin_cube_u,10000,2
156,-142347.9294096566,-1.0,5,latin_cube_q,10000,2
157,-512884.74121882976,-1.0,10,latin_cube_q,10000,2
