,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
0,-262.13749359252154,0.5,5,random,200,5
1,-444.08595920610026,0.61,10,random,200,10
2,-728.9703689628807,0.57,50,random,200,50
3,-257.23349276466536,0.615,5,latin_cube_u,200,5
4,-361.8194242081517,0.545,10,latin_cube_u,200,10
5,-625.9318065654887,0.54,50,latin_cube_u,200,50
6,-286.0474795423246,0.645,5,latin_cube_q,200,5
7,-390.8243438692699,0.5,10,latin_cube_q,200,10
8,-687.630309528517,0.52,50,latin_cube_q,200,50
9,-282.5735620400616,0.52,5,uniform,200,5
10,-309.3474638522045,0.525,10,uniform,200,10
11,-543.4085817941058,0.525,50,uniform,200,48
12,-624.4039314802123,0.985,5,,200,2
13,-624.4037551664679,0.985,10,,200,2
14,-624.4032228278401,0.985,50,,200,2
15,-228.52547469815391,0.615,5,random,200,5
16,-410.88223202248474,0.905,10,random,200,10
17,-718.2272945730025,0.59,50,random,200,50
18,-272.4058802721964,0.905,5,latin_cube_u,200,5
19,-345.83897708238476,0.545,10,latin_cube_u,200,10
20,-593.3125281596114,0.77,50,latin_cube_u,200,50
21,-255.04141257966262,0.505,5,latin_cube_q,200,5
22,-339.6171154993646,0.89,10,latin_cube_q,200,10
23,-654.5970113824654,0.59,50,latin_cube_q,200,50
24,-250.78003106416273,0.825,5,uniform,200,5
25,-350.3119256159723,0.665,10,uniform,200,10
26,-555.6204082079604,0.585,50,uniform,200,50
27,-622.6993991769293,0.98,5,,200,2
28,-622.698595606357,0.98,10,,200,2
29,-622.6993274901239,0.985,50,,200,2
30,-6967.522373418239,0.9688,5,random,5000,5
31,-9974.4238213054,0.967,10,random,5000,10
32,-18502.316026590077,0.9664,50,random,5000,50
33,-4637.722698438161,0.5076,5,latin_cube_u,5000,5
34,-7982.203579273815,0.93,10,latin_cube_u,5000,10
35,-14531.96685982696,0.97,50,latin_cube_u,5000,50
36,-7657.746341832414,0.5698,5,latin_cube_q,5000,5
37,-10509.691484001698,0.9772,10,latin_cube_q,5000,10
38,-17004.46497516067,0.969,50,latin_cube_q,5000,50
39,-6305.382592280649,0.9752,5,uniform,5000,4
40,-6541.626782979392,0.5058,10,uniform,5000,10
41,-14545.718215103618,0.6222,50,uniform,5000,48
42,-15644.331143261126,0.978,5,,5000,2
43,-15644.331303830304,0.9782,10,,5000,2
44,-15644.33127530124,0.9782,50,,5000,2
45,-5944.057764194656,0.6202,5,random,5000,5
46,-10281.669356015833,0.973,10,random,5000,10
47,-18379.75176104856,0.9642,50,random,5000,50
48,-4148.022537399983,0.9642,5,latin_cube_u,5000,5
49,-6327.751719665676,0.9566,10,latin_cube_u,5000,10
50,-14738.644604617512,0.9764,50,latin_cube_u,5000,50
51,-5841.656634449241,0.5026,5,latin_cube_q,5000,5
52,-9868.904662224324,0.9668,10,latin_cube_q,5000,10
53,-17600.796956275113,0.5172,50,latin_cube_q,5000,50
54,-4418.38383829917,0.6924,5,uniform,5000,5
55,-7838.096871258852,0.917,10,uniform,5000,10
56,-13393.127645012188,0.5256,50,uniform,5000,50
57,-15702.607451709444,0.9812,5,,5000,2
58,-15702.607372565195,0.9812,10,,5000,2
59,-15702.607194265353,0.9812,50,,5000,2
