,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
113,-1883826.4085349506,-1.0,50,latin_cube_q,10000,2
114,-41244.603266790524,-1.0,5,uniform,10000,2
115,-111843.43303539815,-1.0,10,uniform,10000,2
116,-1741219.7673488162,-1.0,50,uniform,10000,2
117,-35960.25862448151,0.9758,5,,10000,2
118,-35960.25927739587,0.9758,10,,10000,2
119,-35960.25918407137,0.9758,50,,10000,2
120,-42225.83771550819,-1.0,5,random,10000,2
121,-90881.33903280615,-1.0,10,random,10000,2
122,-1789481.6277176982,-1.0,50,random,10000,2
123,-55094.09429993916,-1.0,5,latin_cube_u,10000,2
124,-149464.3925232194,-1.0,10,latin_cube_u,10000,2
125,-896072.7904748115,-1.0,50,latin_cube_u,10000,2
126,-40556.76186088995,-1.0,5,latin_cube_q,10000,2
127,-80704.50197579937,-1.0,10,latin_cube_q,10000,2
128,-1918922.1118302867,-1.0,50,latin_cube_q,10000,2
129,-38621.72904782892,-1.0,5,uniform,10000,2
130,-75193.3795318822,-1.0,10,uniform,10000,2
131,-1518703.075595132,-1.0,50,uniform,10000,2
132,-35848.71233800583,0.978,5,,10000,2
133,-35848.71227407517,0.0101,10,,10000,2
134,-35848.71207841853,0.0101,50,,10000,2
135,-42661.22825803819,-1.0,5,random,10000,2
136,-86528.77804926259,-1.0,10,random,10000,2
137,-2036898.2073833526,-1.0,50,random,10000,2
138,-41054.924350785965,-1.0,5,latin_cube_u,10000,2
139,-112013.27513128791,-1.0,10,latin_cube_u,10000,2
140,-2832405.778185373,-1.0,50,latin_cube_u,10000,2
141,-41385.175092000405,-1.0,5,latin_cube_q,10000,2
142,-69152.48948725055,-1.0,10,latin_cube_q,10000,2
143,-2285821.994241811,-1.0,50,latin_cube_q,10000,2
144,-45452.28387401255,-1.0,5,uniform,10000,2
145,-95580.64199980862,-1.0,10,uniform,10000,2
146,-1201734.3607822475,-1.0,50,uniform,10000,2
147,-35909.18936967179,0.9769,5,,10000,2
148,-35909.189855948134,0.9769,10,,10000,2
149,-35909.18933894109,0.9769,50,,10000,2
150,-46634.613144228824,-1.0,5,random,10000,2
151,-78135.55380653667,-1.0,10,random,10000,2
152,-1914069.5018160718,-1.0,50,random,10000,2
153,-50678.62991449095,-1.0,5,latin_cube_u,10000,2
154,-117073.00756940985,-1.0,10,latin_cube_u,10000,2
155,-1706964.8629605265,-1.0,50,latin_cube_u,10000,2
156,-47169.285394837796,-1.0,5,latin_cube_q,10000,2
157,-98293.6696584621,-1.0,10,latin_cube_q,10000,2
158,-2187581.6252815393,-1.0,50,latin_cube_q,10000,2
159,-41560.33568983352,-1.0,5,uniform,10000,2
160,-74220.32073938013,-1.0,10,uniform,10000,2
161,-1965598.2772880197,-1.0,50,uniform,10000,2
162,-35702.71040498735,0.9771,5,,10000,2
163,-35702.71001545718,0.9771,10,,10000,2
164,-35702.70984316825,0.0136,50,,10000,2
165,-42326.31353304395,-1.0,5,random,10000,2
166,-94398.08546183447,-1.0,10,random,10000,2
167,-1703767.2980770364,-1.0,50,random,10000,2
168,-44753.1014937922,-1.0,5,latin_cube_u,10000,2
169,-116115.59742399488,-1.0,10,latin_cube_u,10000,2
170,-1233756.7487135988,-1.0,50,latin_cube_u,10000,2
171,-41580.65883456448,-1.0,5,latin_cube_q,10000,2
172,-76432.10185562674,-1.0,10,latin_cube_q,10000,2
173,-2310839.158012624,-1.0,50,latin_cube_q,10000,2
174,-37763.58083982429,-1.0,5,uniform,10000,2
175,-116675.5344092485,-1.0,10,uniform,10000,2
176,-1241461.2009827108,-1.0,50,uniform,10000,2
177,-35763.039654258784,0.9781,5,,10000,2
178,-35763.03927590015,0.9781,10,,10000,2
179,-35763.03928233541,0.9781,50,,10000,2
180,-42496.52183447168,-1.0,5,random,10000,2
181,-99885.9306900671,-1.0,10,random,10000,2
182,-1814810.971682761,-1.0,50,random,10000,2
183,-39918.6226616713,-1.0,5,latin_cube_u,10000,2
184,-68029.65822783236,-1.0,10,latin_cube_u,10000,2
185,-855446.7226316276,-1.0,50,latin_cube_u,10000,2
186,-42582.9312542264,-1.0,5,latin_cube_q,10000,2
187,-69697.69245509151,-1.0,10,latin_cube_q,10000,2
188,-1707705.3222497413,-1.0,50,latin_cube_q,10000,2
189,-41528.70382550749,-1.0,5,uniform,10000,2
190,-77614.10135810297,-1.0,10,uniform,10000,2
191,-1139041.917946799,-1.0,50,uniform,10000,2
192,-35757.77746861873,0.9779,5,,10000,2
193,-35757.77733853195,0.9779,10,,10000,2
194,-35757.777623483475,0.9779,50,,10000,2
195,-45536.73289987079,-1.0,5,random,10000,2
196,-103498.80564465463,-1.0,10,random,10000,2
197,-1871175.2579250531,-1.0,50,random,10000,2
198,-40355.906124053035,-1.0,5,latin_cube_u,10000,2
199,-103453.72695594566,-1.0,10,latin_cube_u,10000,2
200,-1930004.857879224,-1.0,50,latin_cube_u,10000,2
201,-44656.81086702253,-1.0,5,latin_cube_q,10000,2
202,-78122.75096428425,-1.0,10,latin_cube_q,10000,2
203,-963791.7668295783,-1.0,50,latin_cube_q,10000,2
204,-49562.16815868455,-1.0,5,uniform,10000,2
205,-86410.14594951249,-1.0,10,uniform,10000,2
206,-2000814.4669535425,-1.0,50,uniform,10000,2
207,-35807.77977265074,0.9775,5,,10000,2
208,-35807.77959695704,0.9775,10,,10000,2
209,-35807.77974741433,0.9775,50,,10000,2
210,-41750.30787376501,-1.0,5,random,10000,2
211,-77377.57195594642,-1.0,10,random,10000,2
